Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
4,All Students,2022-23,3379,544,2835,83.9,21,14,66.7
5,All Students,2018-19,4756,410,4346,91.4,29,8,27.6
5,All Students,2019-20,2642,234,2408,91.1,24,10,41.7
5,All Students,2020-21,4176,380,3796,90.9,24,6,25.0
5,All Students,2021-22,3719,506,3213,86.4,23,14,60.9
5,All Students,2022-23,3698,309,3389,91.6,23,8,34.8
All Grades,All Students,2018-19,61273,8494,52779,86.1,408,218,53.4
All Grades,All Students,2019-20,36729,4560,32169,87.6,350,175,50.0
All Grades,All Students,2020-21,48649,6955,41694,85.7,302,118,39.1
All Grades,All Students,2021-22,49140,8152,40988,83.4,320,177,55.3
All Grades,All Students,2022-23,54233,8445,45788,84.4,367,207,56.4
PK in K-12 Schools,All Students,2018-19,12421,2279,10142,81.7,85,57,67.1
PK in K-12 Schools,All Students,2019-20,6941,912,6029,86.9,74,37,50.0
PK in K-12 Schools,All Students,2020-21,7658,1354,6304,82.3,50,28,56.0
PK in K-12 Schools,All Students,2021-22,8297,1800,6497,78.3,61,49,80.3
PK in K-12 Schools,All Students,2022-23,9440,2038,7402,78.4,70,56,80.0
0K,All Students,2018-19,4316,802,3514,81.4,28,19,67.9
0K,All Students,2019-20,2931,542,2389,81.5,26,21,80.8
0K,All Students,2020-21,3013,464,2549,84.6,21,8,38.1
0K,All Students,2021-22,4651,854,3797,81.6,28,14,50.0
0K,All Students,2022-23,4344,631,3713,85.5,30,16,53.3
1,All Students,2018-19,4062,682,3380,83.2,31,21,67.7
1,All Students,2019-20,2541,402,2139,84.2,26,16,61.5
