Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
6,All Students,2021-22,17841,2027,15814,88.6,105,47,44.8
6,All Students,2022-23,18387,1266,17121,93.1,108,29,26.9
7,All Students,2018-19,18114,1076,17038,94.1,104,16,15.4
7,All Students,2019-20,11936,636,11300,94.7,105,13,12.4
7,All Students,2020-21,16495,1518,14977,90.8,96,24,25.0
7,All Students,2021-22,16782,2171,14611,87.1,102,51,50.0
7,All Students,2022-23,17251,1395,15856,91.9,104,35,33.7
8,All Students,2018-19,17688,1801,15887,89.8,103,37,35.9
8,All Students,2019-20,11329,782,10547,93.1,100,14,14.0
8,All Students,2020-21,17722,1530,16192,91.4,102,31,30.4
8,All Students,2021-22,16704,1963,14741,88.2,98,45,45.9
8,All Students,2022-23,17038,1997,15041,88.3,106,45,42.5
All Grades,All Students,2018-19,61718,4326,57392,93.0,362,83,22.9
All Grades,All Students,2019-20,38528,2339,36189,93.9,346,70,20.2
All Grades,All Students,2020-21,49924,2180,47744,95.6,300,43,14.3
All Grades,All Students,2021-22,43695,3051,40644,93.0,264,65,24.6
All Grades,All Students,2022-23,39923,2346,37577,94.1,238,38,16.0
PK in K-12 Schools,All Students,2018-19,5591,471,5120,91.6,35,12,34.3
PK in K-12 Schools,All Students,2019-20,5120,515,4605,89.9,48,21,43.8
PK in K-12 Schools,All Students,2020-21,6221,190,6031,96.9,39,3,7.7
PK in K-12 Schools,All Students,2021-22,7597,901,6696,88.1,49,27,55.1
PK in K-12 Schools,All Students,2022-23,8427,977,7450,88.4,53,23,43.4
0K,All Students,2018-19,8834,839,7995,90.5,56,22,39.3
0K,All Students,2019-20,5459,396,5063,92.7,50,14,28.0
0K,All Students,2020-21,7180,315,6865,95.6,43,5,11.6
0K,All Students,2021-22,7411,586,6825,92.1,44,12,27.3
0K,All Students,2022-23,4399,297,4102,93.2,26,6,23.1
1,All Students,2018-19,9480,623,8857,93.4,55,10,18.2
1,All Students,2019-20,4702,247,4455,94.7,42,8,19.0
1,All Students,2020-21,6370,422,5948,93.4,40,11,27.5
1,All Students,2021-22,5172,303,4869,94.1,32,5,15.6
1,All Students,2022-23,5507,267,5240,95.2,32,2,6.3
2,All Students,2018-19,9231,620,8611,93.3,52,9,17.3
2,All Students,2019-20,5321,283,5038,94.7,49,7,14.3
2,All Students,2020-21,5953,319,5634,94.6,35,5,14.3
2,All Students,2021-22,5541,372,5169,93.3,32,6,18.8
2,All Students,2022-23,5251,256,4995,95.1,31,1,3.2
3,All Students,2018-19,10093,538,9555,94.7,59,7,11.9
3,All Students,2019-20,5232,223,5009,95.7,46,3,6.5
3,All Students,2020-21,7432,302,7130,95.9,44,6,13.6
3,All Students,2021-22,4768,218,4550,95.4,31,3,9.7
3,All Students,2022-23,5083,159,4924,96.9,30,1,3.3
4,All Students,2018-19,10658,882,9776,91.7,61,18,29.5
4,All Students,2019-20,6250,281,5969,95.5,55,7,12.7
4,All Students,2020-21,7469,376,7093,95.0,44,9,20.5
4,All Students,2021-22,6653,309,6344,95.4,39,4,10.3
4,All Students,2022-23,4173,159,4014,96.2,25,4,16.0
5,All Students,2018-19,7831,353,7478,95.5,44,5,11.4
5,All Students,2019-20,6444,394,6050,93.9,56,10,17.9
5,All Students,2020-21,9299,256,9043,97.2,55,4,7.3
5,All Students,2021-22,6553,362,6191,94.5,37,8,21.6
5,All Students,2022-23,7083,231,6852,96.7,41,1,2.4
All Grades,All Students,2018-19,45124,3523,41601,92.2,265,75,28.3
All Grades,All Students,2019-20,28443,2198,26245,92.3,263,80,30.4
All Grades,All Students,2020-21,44754,5173,39581,88.4,266,111,41.7
All Grades,All Students,2021-22,41896,5244,36652,87.5,259,124,47.9
All Grades,All Students,2022-23,38468,4193,34275,89.1,236,97,41.1
PK in K-12 Schools,All Students,2018-19,7980,827,7153,89.6,48,18,37.5
7,All Students,2019-20,5805,356,5449,93.9,52,12,23.1
PK in K-12 Schools,All Students,2019-20,6398,748,5650,88.3,62,30,48.4
PK in K-12 Schools,All Students,2020-21,8906,1331,7575,85.1,55,31,56.4
PK in K-12 Schools,All Students,2021-22,8855,1542,7313,82.6,62,39,62.9
PK in K-12 Schools,All Students,2022-23,7531,1151,6380,84.7,48,24,50.0
0K,All Students,2018-19,4821,s,s,s,s,s,s
0K,All Students,2019-20,4396,374,4022,91.5,39,14,35.9
0K,All Students,2020-21,7107,966,6141,86.4,44,22,50.0
0K,All Students,2021-22,6001,925,5076,84.6,36,21,58.3
0K,All Students,2022-23,4809,582,4227,87.9,29,14,48.3
1,All Students,2018-19,6248,420,5828,93.3,37,10,27.0
1,All Students,2019-20,2227,192,2035,91.4,22,8,36.4
1,All Students,2020-21,7384,832,6552,88.7,44,16,36.4
1,All Students,2021-22,6204,659,5545,89.4,39,18,46.2
1,All Students,2022-23,6221,683,5538,89.0,38,16,42.1
2,All Students,2018-19,6008,314,5694,94.8,34,5,14.7
2,All Students,2019-20,4654,320,4334,93.1,42,11,26.2
2,All Students,2020-21,3494,334,3160,90.4,20,5,25.0
2,All Students,2021-22,5501,547,4954,90.1,32,12,37.5
2,All Students,2022-23,5637,588,5049,89.6,36,14,38.9
3,All Students,2018-19,7007,431,6576,93.8,42,11,26.2
3,All Students,2019-20,3488,153,3335,95.6,32,3,9.4
3,All Students,2020-21,6315,830,5485,86.9,37,20,54.1
3,All Students,2021-22,4291,449,3842,89.5,25,9,36.0
3,All Students,2022-23,4913,405,4508,91.8,29,10,34.5
4,All Students,2018-19,5814,413,5401,92.9,34,9,26.5
4,All Students,2019-20,4199,240,3959,94.3,38,10,26.3
4,All Students,2020-21,4898,375,4523,92.3,28,8,28.6
4,All Students,2021-22,5875,667,5208,88.6,35,14,40.0
4,All Students,2022-23,3786,368,3418,90.3,23,10,43.5
5,All Students,2018-19,7244,479,6765,93.4,41,10,24.4
